Family_Number,Nearest_Bus_Station,Total_Deliveries,Food_Deliveries,Supermarket_Deliveries,Other_Deliveries,Packages_Deliveries
24395, don’t know ,5,1,2,1,1
24135, don’t know ,0,0,0,0,0
20661,there is no bus service in my area,0,0,0,0,0
20663, don’t know ,6,0,3,0,3
20859,there is no bus service in my area,0,0,0,0,0
22219,there is no bus service in my area,0,0,0,0,0
23535, don’t know ,6,1,1,1,3
24223,there is no bus service in my area,3,1,2,0,0
21955, don’t know ,0,0,0,0,0
23392, don’t know ,0,0,0,0,0
20566, don’t know ,16,3,5,0,8
24368,there is no bus service in my area,0,0,0,0,0
24318,there is no bus service in my area,0,0,0,0,0
21580, don’t know ,3,1,2,0,0
22498, don’t know ,0,0,0,0,0
22188,there is no bus service in my area,0,0,0,0,0
20888, don’t know ,4,1,1,0,2
22585,6-10 mins walk,2,0,0,2,0
23530, don’t know ,0,0,0,0,0
22599,there is no bus service in my area,12,4,3,3,2
21956,there is no bus service in my area,5,3,2,0,0
23996,there is no bus service in my area,1,1,0,0,0
20291, don’t know ,1,0,0,0,1
22681, don’t know ,2,0,1,0,1
20860,there is no bus service in my area,0,0,0,0,0
21586, don’t know ,3,1,2,0,0
23868,there is no bus service in my area,2,0,1,0,1
23664,there is no bus service in my area,0,0,0,0,0
24143, don’t know ,0,0,0,0,0
20664,there is no bus service in my area,0,0,0,0,0
22017, don’t know ,10,2,5,0,3
22586, More than 15 mins,0,0,0,0,0
22600,there is no bus service in my area,9,2,3,2,2
21000,there is no bus service in my area,4,1,1,0,2
22497, don’t know ,2,0,0,1,1
24319,there is no bus service in my area,0,0,0,0,0
21587, don’t know ,2,1,1,0,0
22193, don’t know ,2,0,1,0,1
21355, don’t know ,0,0,0,0,0
20145,there is no bus service in my area,1,1,0,0,0
23531, don’t know ,6,1,1,1,3
22189,there is no bus service in my area,0,0,0,0,0
24396,there is no bus service in my area,2,1,1,0,0
23143, don’t know ,4,1,1,0,2
20402, don’t know ,4,1,1,0,2
20998,there is no bus service in my area,2,1,0,0,1
20857,there is no bus service in my area,0,0,0,0,0
23706,there is no bus service in my area,2,1,0,0,1
23925,there is no bus service in my area,0,0,0,0,0
20665, don’t know ,0,0,0,0,0
24621, don’t know ,2,1,1,0,0
22601,there is no bus service in my area,10,3,3,2,2
22034, don’t know ,5,2,3,0,0
21356, don’t know ,0,0,0,0,0
22194, don’t know ,4,2,0,0,2
24224,there is no bus service in my area,3,2,0,0,1
21173, don’t know ,9,2,2,1,4
22683,there is no bus service in my area,5,3,0,0,2
23532, don’t know ,0,0,0,0,0
22040, don’t know ,6,2,3,0,1
23656,there is no bus service in my area,4,0,0,2,2
23997,there is no bus service in my area,0,0,0,0,0
23782, don’t know ,5,2,2,0,1
24320,there is no bus service in my area,2,1,0,0,1
20401, don’t know ,6,1,2,0,3
23705,there is no bus service in my area,3,1,1,0,1
22684, More than 15 mins,1,1,0,0,0
20427,6-10 mins walk,4,2,2,0,0
20999,there is no bus service in my area,2,0,0,1,1
24321,there is no bus service in my area,0,0,0,0,0
20666, don’t know ,8,8,0,0,0
20776, don’t know ,9,6,3,0,0
20076, don’t know ,1,0,1,0,0
22268, don’t know ,0,0,0,0,0
23869,there is no bus service in my area,4,1,1,0,2
22210,there is no bus service in my area,0,0,0,0,0
21117,there is no bus service in my area,0,0,0,0,0
23218, don’t know ,0,0,0,0,0
22101, don’t know ,5,2,3,0,0
22602, don’t know ,16,4,4,5,3
20399, More than 15 mins,6,0,3,0,3
21362, don’t know ,0,0,0,0,0
20428,11  - 15 mins walk,5,2,2,1,0
20997,there is no bus service in my area,4,1,1,0,2
23387, don’t know ,4,2,0,0,2
20667, don’t know ,0,0,0,0,0
20400, More than 15 mins,8,3,1,0,4
24325,there is no bus service in my area,1,0,0,0,1
24620, More than 15 mins,3,0,3,0,0
22283, don’t know ,4,0,1,1,2
23389, don’t know ,0,0,0,0,0
21002,there is no bus service in my area,4,1,1,0,2
21126,there is no bus service in my area,2,1,0,0,1
20077, don’t know ,2,0,0,0,2
22213,there is no bus service in my area,0,0,0,0,0
20668, don’t know ,3,1,1,0,1
22214,there is no bus service in my area,0,0,0,0,0
23156,there is no bus service in my area,4,2,0,0,2
23391, don’t know ,0,0,0,0,0
20429, don’t know ,5,3,2,0,0
20078,there is no bus service in my area,0,0,0,0,0
23867,there is no bus service in my area,0,0,0,0,0
20079, don’t know ,2,0,2,0,0
22971, don’t know ,6,1,1,1,3
20080, don’t know ,0,0,0,0,0
23866, don’t know ,2,0,0,0,2
20081, don’t know ,2,1,0,0,1
23865,there is no bus service in my area,10,5,0,0,5
20083, don’t know ,0,0,0,0,0
23870, don’t know ,0,0,0,0,0
23871,there is no bus service in my area,0,0,0,0,0
23872, don’t know ,4,1,1,0,2
20147,there is no bus service in my area,1,1,0,0,0
22182, don’t know ,4,1,0,1,2
20084, don’t know ,4,1,0,2,1
22183,there is no bus service in my area,8,2,0,2,4
22184,there is no bus service in my area,4,1,0,1,2
23998,there is no bus service in my area,0,0,0,0,0
20777, don’t know ,7,5,2,0,0
22552, don’t know ,6,2,1,0,3
20778,there is no bus service in my area,7,2,5,0,0
23999, don’t know ,0,0,0,0,0
23362, More than 15 mins,4,1,1,0,2
20548, don’t know ,18,3,3,3,9
23153, don’t know ,6,1,2,0,3
24000,there is no bus service in my area,2,0,0,0,2
22044, don’t know ,5,3,2,0,0
20889, don’t know ,3,1,0,0,2
22157, More than 15 mins,0,0,0,0,0
24357,there is no bus service in my area,0,0,0,0,0
22045, don’t know ,6,3,3,0,0
21958,there is no bus service in my area,3,0,3,0,0
24001,there is no bus service in my area,0,0,0,0,0
20779, don’t know ,8,3,5,0,0
22046, don’t know ,10,4,6,0,0
20314, don’t know ,6,0,0,3,3
20550, don’t know ,12,2,2,2,6
20890, don’t know ,3,1,1,0,1
21005,there is no bus service in my area,4,2,0,0,2
23213, don’t know ,4,2,1,0,1
22191,there is no bus service in my area,0,0,0,0,0
23481, don’t know ,0,0,0,0,0
23926,there is no bus service in my area,0,0,0,0,0
24674, don’t know ,0,0,0,0,0
23356, More than 15 mins,10,3,2,0,5
21952,there is no bus service in my area,4,3,1,0,0
20780, don’t know ,0,0,0,0,0
20669, don’t know ,0,0,0,0,0
24617,there is no bus service in my area,0,0,0,0,0
23149, don’t know ,0,0,0,0,0
20551, don’t know ,18,3,3,3,9
24358,there is no bus service in my area,0,0,0,0,0
23212,11  - 15 mins walk,0,0,0,0,0
24002, don’t know ,0,0,0,0,0
22587,6-10 mins walk,2,2,0,0,0
20853,there is no bus service in my area,0,0,0,0,0
22192,there is no bus service in my area,0,0,0,0,0
20891,there is no bus service in my area,2,0,2,0,0
21963,there is no bus service in my area,2,0,2,0,0
22030, don’t know ,6,3,3,0,0
22603,there is no bus service in my area,9,2,3,2,2
24676, don’t know ,0,0,0,0,0
20319, don’t know ,4,2,0,0,2
22053, don’t know ,7,3,4,0,0
23233, don’t know ,1,1,0,0,0
20892, don’t know ,5,1,1,0,3
20552, don’t know ,18,3,3,3,9
23927,there is no bus service in my area,0,0,0,0,0
23357, More than 15 mins,6,2,1,0,3
22588, don’t know ,0,0,0,0,0
22156,there is no bus service in my area,0,0,0,0,0
21177, don’t know ,6,1,1,1,3
23482,11  - 15 mins walk,0,0,0,0,0
22021,there is no bus service in my area,7,3,4,0,0
20670, don’t know ,0,0,0,0,0
24003, don’t know ,0,0,0,0,0
24614,there is no bus service in my area,0,0,0,0,0
22604,there is no bus service in my area,7,2,3,0,2
23148,there is no bus service in my area,6,1,2,0,3
23785, don’t know ,10,2,3,0,5
20320, don’t know ,2,1,0,0,1
23235, don’t know ,2,1,1,0,0
24675, don’t know ,0,0,0,0,0
20553, don’t know ,12,3,2,1,6
22589, don’t know ,2,1,1,0,0
21128,there is no bus service in my area,0,0,0,0,0
21962,there is no bus service in my area,0,0,0,0,0
22605, don’t know ,9,3,2,2,2
23483, don’t know ,2,0,0,1,1
20855,there is no bus service in my area,0,0,0,0,0
22022, don’t know ,9,2,4,0,3
24225,there is no bus service in my area,2,1,1,0,0
23958,there is no bus service in my area,2,1,0,0,1
23231, don’t know ,2,1,1,0,0
24673, don’t know ,0,0,0,0,0
24099,there is no bus service in my area,0,0,0,0,0
21970,there is no bus service in my area,0,0,0,0,0
20862,there is no bus service in my area,0,0,0,0,0
20321, don’t know ,0,0,0,0,0
23657, don’t know ,8,1,1,2,4
23342,11  - 15 mins walk,0,0,0,0,0
23228, don’t know ,2,0,1,0,1
24226,there is no bus service in my area,1,0,1,0,0
24369,there is no bus service in my area,0,0,0,0,0
23959,there is no bus service in my area,0,0,0,0,0
23484,there is no bus service in my area,2,0,1,0,1
22606, don’t know ,18,5,5,5,3
23661, don’t know ,4,1,0,1,2
21971,there is no bus service in my area,0,0,0,0,0
24672, don’t know ,0,0,0,0,0
21327, don’t know ,0,0,0,0,0
23704,there is no bus service in my area,0,0,0,0,0
23783, don’t know ,8,2,2,0,4
24100,there is no bus service in my area,0,0,0,0,0
20856,there is no bus service in my area,0,0,0,0,0
23147,there is no bus service in my area,0,0,0,0,0
23214, don’t know ,2,1,1,0,0
20671, don’t know ,6,1,2,0,3
22593, don’t know ,3,0,1,2,0
24004,there is no bus service in my area,1,0,0,0,1
22940,6-10 mins walk,1,0,0,0,1
23485, don’t know ,0,0,0,0,0
22154, don’t know ,0,0,0,0,0
21575, don’t know ,4,2,2,0,0
22607,there is no bus service in my area,11,3,2,3,3
24101,there is no bus service in my area,0,0,0,0,0
23359,11  - 15 mins walk,0,0,0,0,0
21328, don’t know ,0,0,0,0,0
24671, don’t know ,0,0,0,0,0
24366,there is no bus service in my area,0,0,0,0,0
22412, don’t know ,0,0,0,0,0
20893, don’t know ,2,1,0,0,1
20858,there is no bus service in my area,3,1,1,0,1
22608, don’t know ,6,2,2,2,0
22051, don’t know ,6,3,3,0,0
20482, don’t know ,0,0,0,0,0
23703,there is no bus service in my area,0,0,0,0,0
22592,there is no bus service in my area,5,2,2,1,0
23957,there is no bus service in my area,8,2,2,0,4
24670, don’t know ,0,0,0,0,0
24102,there is no bus service in my area,0,0,0,0,0
24367,there is no bus service in my area,0,0,0,0,0
22153,there is no bus service in my area,0,0,0,0,0
24584,there is no bus service in my area,3,1,0,0,2
23487,6-10 mins walk,0,0,0,0,0
22561, don’t know ,10,2,1,2,5
22050, don’t know ,5,2,3,0,0
23655, don’t know ,6,1,1,1,3
22686, More than 15 mins,3,0,3,0,0
23702,there is no bus service in my area,4,2,1,0,1
22555, don’t know ,14,3,2,2,7
23294, don’t know ,5,1,2,0,2
20085, don’t know ,2,1,1,0,0
21501,there is no bus service in my area,3,1,2,0,0
23786, don’t know ,16,2,6,0,8
20695, don’t know ,0,0,0,0,0
23340,11  - 15 mins walk,4,0,2,0,2
22687, More than 15 mins,3,2,0,0,1
20477, More than 15 mins,0,0,0,0,0
24669, don’t know ,1,0,0,0,1
21329, don’t know ,0,0,0,0,0
22047, don’t know ,7,3,4,0,0
20149,there is no bus service in my area,1,1,0,0,0
23701,there is no bus service in my area,3,1,1,0,1
23665,there is no bus service in my area,2,1,0,0,1
23811, don’t know ,6,2,0,1,3
24398,there is no bus service in my area,6,1,2,0,3
23954,there is no bus service in my area,0,0,0,0,0
21012,there is no bus service in my area,4,1,1,0,2
22688, don’t know ,1,1,0,0,0
20226,there is no bus service in my area,1,1,0,0,0
21330, don’t know ,0,0,0,0,0
20086,there is no bus service in my area,0,0,0,0,0
21483, don’t know ,0,0,0,0,0
24375,there is no bus service in my area,2,0,0,0,2
20696,there is no bus service in my area,0,0,0,0,0
21326, don’t know ,0,0,0,0,0
21172, don’t know ,12,3,2,1,6
22556, don’t know ,14,2,3,2,7
23293, don’t know ,3,1,1,0,1
20150,there is no bus service in my area,2,1,0,0,1
22023, don’t know ,7,2,4,0,1
20025, don’t know ,0,0,0,0,0
22689, More than 15 mins,0,0,0,0,0
24373,there is no bus service in my area,0,0,0,0,0
21011,there is no bus service in my area,4,1,0,1,2
22942, don’t know ,3,1,1,0,1
20087,there is no bus service in my area,4,0,2,0,2
23812, don’t know ,9,1,1,2,5
23144, don’t know ,0,0,0,0,0
22557, don’t know ,12,3,1,2,6
24668, don’t know ,3,0,3,0,0
21010,there is no bus service in my area,2,0,1,0,1
20476,there is no bus service in my area,0,0,0,0,0
20697, don’t know ,0,0,0,0,0
21490, don’t know ,0,0,0,0,0
21325, don’t know ,0,0,0,0,0
21013,there is no bus service in my area,4,1,1,0,2
20026, don’t know ,0,0,0,0,0
20327, More than 15 mins,10,2,3,0,5
23813, don’t know ,0,0,0,0,0
24667, don’t know ,4,1,2,0,1
20151,there is no bus service in my area,2,1,0,0,1
20088, don’t know ,2,1,0,0,1
20698,there is no bus service in my area,0,0,0,0,0
23710,there is no bus service in my area,2,1,1,0,0
22594,there is no bus service in my area,4,0,0,3,1
21014,there is no bus service in my area,4,0,2,0,2
24374,there is no bus service in my area,1,0,0,0,1
21320, don’t know ,0,0,0,0,0
20089, don’t know ,0,0,0,0,0
21015,there is no bus service in my area,4,1,1,0,2
23142,there is no bus service in my area,0,0,0,0,0
21321, don’t know ,0,0,0,0,0
23292, don’t know ,3,1,1,0,1
20090, don’t know ,0,0,0,0,0
23953,there is no bus service in my area,2,1,0,0,1
24666, don’t know ,4,1,2,0,1
22109, don’t know ,2,1,1,0,0
23709,there is no bus service in my area,2,1,0,0,1
20481,6-10 mins walk,2,2,0,0,0
23814, don’t know ,0,0,0,0,0
20480, don’t know ,0,0,0,0,0
22559, don’t know ,18,3,2,4,9
20091, don’t know ,3,2,1,0,0
23815, don’t know ,0,0,0,0,0
20153,there is no bus service in my area,2,1,0,1,0
20092, don’t know ,2,0,1,1,0
20475,there is no bus service in my area,5,2,3,0,0
20154, don’t know ,3,1,0,1,1
20093, don’t know ,4,2,1,0,1
22946, don’t know ,1,0,0,0,1
22562, don’t know ,12,2,2,2,6
22947, don’t know ,1,1,0,0,0
22948, don’t know ,1,1,0,0,0
22771, don’t know ,18,3,4,2,9
20094, More than 15 mins,3,1,2,0,0
22195, don’t know ,6,1,0,2,3
22196, don’t know ,4,0,0,2,2
24131,there is no bus service in my area,0,0,0,0,0
24133, More than 15 mins,0,0,0,0,0
24134,there is no bus service in my area,0,0,0,0,0
22197, don’t know ,6,1,1,1,3
24141,there is no bus service in my area,4,1,1,0,2
24145,there is no bus service in my area,0,0,0,0,0
20300,there is no bus service in my area,6,1,0,2,3
22770, don’t know ,8,1,1,2,4
21202, don’t know ,6,1,1,1,3
20027, don’t know ,0,0,0,0,0
22198, don’t know ,6,1,1,1,3
22772, don’t know ,10,2,1,2,5
23345,11  - 15 mins walk,6,1,2,0,3
20781, don’t know ,8,2,5,0,1
22972, don’t know ,0,0,0,0,0
20028, don’t know ,0,0,0,0,0
23344,11  - 15 mins walk,4,1,1,0,2
23787, don’t know ,16,3,5,0,8
20186,there is no bus service in my area,0,0,0,0,0
21176, don’t know ,12,2,3,1,6
22973, don’t know ,6,2,1,0,3
21972,there is no bus service in my area,3,1,2,0,0
23343, More than 15 mins,4,0,2,0,2
20340, don’t know ,1,1,0,0,0
20782, don’t know ,12,4,5,0,3
23816, don’t know ,0,0,0,0,0
23956,there is no bus service in my area,0,0,0,0,0
20554, don’t know ,6,1,1,1,3
21973,there is no bus service in my area,2,0,2,0,0
23486,there is no bus service in my area,0,0,0,0,0
24460,there is no bus service in my area,0,0,0,0,0
24005,there is no bus service in my area,0,0,0,0,0
20341, don’t know ,1,1,0,0,0
21974,there is no bus service in my area,2,0,2,0,0
20894, don’t know ,2,1,0,0,1
23784, don’t know ,12,1,5,0,6
21016,there is no bus service in my area,4,0,2,0,2
23488,< 5 mins walk,0,0,0,0,0
20188,there is no bus service in my area,0,0,0,0,0
22590, don’t know ,3,1,2,0,0
22773, don’t know ,10,2,2,1,5
21975,there is no bus service in my area,3,1,2,0,0
23951,there is no bus service in my area,4,1,0,1,2
23817, don’t know ,0,0,0,0,0
24622, don’t know ,3,0,2,0,1
20699,there is no bus service in my area,0,0,0,0,0
22974,there is no bus service in my area,6,2,1,0,3
24009,there is no bus service in my area,0,0,0,0,0
20342, don’t know ,0,0,0,0,0
20555, don’t know ,6,1,1,1,3
23346,11  - 15 mins walk,2,0,1,0,1
22609,there is no bus service in my area,7,2,2,2,1
23489,6-10 mins walk,2,0,0,1,1
20430,6-10 mins walk,4,1,2,0,1
22591, don’t know ,8,3,2,3,0
24104,there is no bus service in my area,0,0,0,0,0
20895, don’t know ,3,1,0,0,2
22413, don’t know ,0,0,0,0,0
21178, don’t know ,2,1,0,0,1
23666, More than 15 mins,2,0,1,0,1
21976,there is no bus service in my area,2,2,0,0,0
20783, don’t know ,6,2,4,0,0
24623, don’t know ,0,0,0,0,0
20189,there is no bus service in my area,3,0,1,0,2
20029, don’t know ,0,0,0,0,0
22610,there is no bus service in my area,12,4,2,3,3
20700,there is no bus service in my area,0,0,0,0,0
22921, don’t know ,2,1,0,0,1
23952,there is no bus service in my area,2,1,0,0,1
20896, don’t know ,3,0,0,0,3
21977,there is no bus service in my area,4,2,2,0,0
20784, don’t know ,4,1,3,0,0
23781, don’t know ,8,1,2,0,5
20200,there is no bus service in my area,0,0,0,0,0
23393, don’t know ,10,3,0,2,5
20431,there is no bus service in my area,2,0,2,0,0
23490, don’t know ,2,0,0,1,1
24461,there is no bus service in my area,1,0,0,0,1
24399, don’t know ,6,1,1,1,3
22284, don’t know ,4,0,2,0,2
24619, don’t know ,1,0,1,0,0
23669, More than 15 mins,4,1,1,0,2
22215,there is no bus service in my area,2,1,0,0,1
22414, don’t know ,6,3,0,0,3
23230, don’t know ,2,1,1,0,0
22799,there is no bus service in my area,3,1,0,0,2
21978,there is no bus service in my area,3,0,3,0,0
22611,there is no bus service in my area,9,3,3,2,1
22975,there is no bus service in my area,6,2,1,0,3
20897, don’t know ,3,1,1,0,1
20556, don’t know ,15,3,3,3,6
20221,there is no bus service in my area,4,1,0,0,3
22415, don’t know ,6,2,1,0,3
20785, don’t know ,5,1,4,0,0
21980,there is no bus service in my area,5,3,2,0,0
23788, don’t know ,14,0,7,0,7
24006, don’t know ,0,0,0,0,0
22800,there is no bus service in my area,9,2,1,3,3
23491, don’t know ,0,0,0,0,0
24625, don’t know ,2,0,1,0,1
20863,there is no bus service in my area,0,0,0,0,0
23395, don’t know ,0,0,0,0,0
20432,there is no bus service in my area,3,0,3,0,0
22285, don’t know ,2,0,0,1,1
23338, More than 15 mins,6,2,1,0,3
21212, don’t know ,8,2,1,1,4
22923, don’t know ,0,0,0,0,0
22416, don’t know ,4,2,0,0,2
24106,there is no bus service in my area,0,0,0,0,0
23234, don’t know ,2,1,0,0,1
23668, don’t know ,0,0,0,0,0
23818, don’t know ,0,0,0,0,0
20222, don’t know ,2,1,0,0,1
23955,there is no bus service in my area,0,0,0,0,0
24462,there is no bus service in my area,0,0,0,0,0
22612, don’t know ,10,3,3,2,2
21979,there is no bus service in my area,5,2,3,0,0
20557, don’t know ,6,1,1,1,3
22801, don’t know ,9,4,2,0,3
22286, don’t know ,6,2,1,0,3
22690, More than 15 mins,0,0,0,0,0
24400, don’t know ,4,0,2,0,2
24227,there is no bus service in my area,3,1,2,0,0
23711,there is no bus service in my area,0,0,0,0,0
20433, don’t know ,6,2,4,0,0
22417, don’t know ,2,1,0,0,1
23779, don’t know ,10,1,4,0,5
20095, don’t know ,3,1,2,0,0
23492,11  - 15 mins walk,0,0,0,0,0
24626, don’t know ,3,1,1,0,1
20786, don’t know ,13,7,5,0,1
22802, don’t know ,0,0,0,0,0
20212,there is no bus service in my area,0,0,0,0,0
22691, More than 15 mins,4,1,1,0,2
24147,there is no bus service in my area,6,2,1,0,3
23227, don’t know ,1,0,1,0,0
24107,there is no bus service in my area,0,0,0,0,0
23819, don’t know ,0,0,0,0,0
24533,there is no bus service in my area,2,1,0,0,1
23397, don’t know ,0,0,0,0,0
22613, don’t know ,11,3,3,3,2
24228,there is no bus service in my area,3,1,2,0,0
24463,there is no bus service in my area,1,0,0,0,1
21179, don’t know ,4,1,1,0,2
23969,there is no bus service in my area,0,0,0,0,0
20787, don’t know ,0,0,0,0,0
23341, More than 15 mins,8,3,1,0,4
20701,there is no bus service in my area,0,0,0,0,0
22287, don’t know ,0,0,0,0,0
22692, More than 15 mins,1,1,0,0,0
22418, don’t know ,8,2,2,0,4
23663, don’t know ,2,0,0,1,1
24229,there is no bus service in my area,2,1,1,0,0
24401, don’t know ,2,0,1,0,1
24627, don’t know ,0,0,0,0,0
21313, don’t know ,0,0,0,0,0
20434,6-10 mins walk,2,0,2,0,0
24464,there is no bus service in my area,0,0,0,0,0
20096, don’t know ,2,1,0,0,1
24014, don’t know ,0,0,0,0,0
20870,there is no bus service in my area,0,0,0,0,0
24532,there is no bus service in my area,1,1,0,0,0
22976,there is no bus service in my area,8,2,2,0,4
21314, don’t know ,0,0,0,0,0
24230,there is no bus service in my area,1,0,1,0,0
22693, More than 15 mins,0,0,0,0,0
22614, don’t know ,7,2,2,1,2
20898,< 5 mins walk,3,0,1,0,2
23712,there is no bus service in my area,0,0,0,0,0
22419, don’t know ,0,0,0,0,0
20788, don’t know ,0,0,0,0,0
20624,there is no bus service in my area,4,1,1,2,0
22288,there is no bus service in my area,0,0,0,0,0
20702,there is no bus service in my area,0,0,0,0,0
24231,there is no bus service in my area,0,0,0,0,0
20217,there is no bus service in my area,2,0,0,0,2
23820, don’t know ,14,3,3,1,7
23220, don’t know ,0,0,0,0,0
24105, don’t know ,2,2,0,0,0
20435, don’t know ,3,0,2,1,0
22694, More than 15 mins,2,0,2,0,0
24628, don’t know ,2,1,0,0,1
22289, don’t know ,0,0,0,0,0
22756, don’t know ,16,3,1,4,8
20625,there is no bus service in my area,4,2,0,0,2
22420, don’t know ,0,0,0,0,0
20097, don’t know ,2,1,0,0,1
20864,there is no bus service in my area,0,0,0,0,0
21006,there is no bus service in my area,4,0,1,1,2
20899, don’t know ,3,1,0,0,2
20218,there is no bus service in my area,2,2,0,0,0
23963,there is no bus service in my area,0,0,0,0,0
24232,there is no bus service in my area,10,10,0,0,0
20703,there is no bus service in my area,0,0,0,0,0
20030, don’t know ,0,0,0,0,0
23216, don’t know ,2,1,0,0,1
23410, More than 15 mins,10,4,1,0,5
24007,there is no bus service in my area,0,0,0,0,0
22615,there is no bus service in my area,18,5,4,5,4
22290, don’t know ,4,1,0,1,2
24629, don’t know ,1,0,0,0,1
20626,there is no bus service in my area,3,2,1,0,0
22429, don’t know ,0,0,0,0,0
20436, don’t know ,0,0,0,0,0
24233,there is no bus service in my area,2,1,1,0,0
22217,there is no bus service in my area,1,1,0,0,0
20219,there is no bus service in my area,1,0,1,0,0
24531,there is no bus service in my area,2,1,0,1,0
24402,there is no bus service in my area,4,0,2,0,2
23662,there is no bus service in my area,0,0,0,0,0
21315, don’t know ,0,0,0,0,0
23790, don’t know ,0,0,0,0,0
23821, don’t know ,16,3,5,0,8
23396, don’t know ,6,2,0,1,3
23713,there is no bus service in my area,0,0,0,0,0
22291, don’t know ,0,0,0,0,0
22430, don’t know ,0,0,0,0,0
24234,there is no bus service in my area,2,0,1,0,1
24008, don’t know ,0,0,0,0,0
22755, don’t know ,10,1,2,2,5
22695,11  - 15 mins walk,1,1,0,0,0
24630, don’t know ,0,0,0,0,0
23412, More than 15 mins,10,4,1,0,5
20789, don’t know ,3,0,3,0,0
23329, don’t know ,4,2,1,0,1
23219, don’t know ,1,1,0,0,0
22431, don’t know ,2,0,1,0,1
23658, don’t know ,4,1,0,1,2
23965,there is no bus service in my area,2,1,0,0,1
21007,there is no bus service in my area,4,1,1,0,2
21316, don’t know ,0,0,0,0,0
22928, don’t know ,3,0,0,0,3
22218,there is no bus service in my area,0,0,0,0,0
24403, don’t know ,6,1,2,0,3
22292, don’t know ,2,1,0,0,1
20439,there is no bus service in my area,0,0,0,0,0
24010,there is no bus service in my area,1,1,0,0,0
20704, don’t know ,0,0,0,0,0
21073,there is no bus service in my area,0,0,0,0,0
24529,there is no bus service in my area,2,1,1,0,0
23714,there is no bus service in my area,2,1,0,0,1
22757, More than 15 mins,14,3,2,2,7
22432, don’t know ,0,0,0,0,0
20790, don’t know ,9,2,6,0,1
23242, don’t know ,2,1,0,0,1
23388, don’t know ,0,0,0,0,0
20031,there is no bus service in my area,1,1,0,0,0
21008,there is no bus service in my area,4,1,1,0,2
22977,there is no bus service in my area,0,0,0,0,0
24011, don’t know ,0,0,0,0,0
21317, don’t know ,0,0,0,0,0
22696, More than 15 mins,3,1,0,0,2
23822, don’t know ,0,0,0,0,0
21170, don’t know ,8,1,2,1,4
24633, don’t know ,1,0,0,0,1
23962,there is no bus service in my area,8,2,1,1,4
20627,there is no bus service in my area,2,1,1,0,0
23411,6-10 mins walk,0,0,0,0,0
20705,there is no bus service in my area,0,0,0,0,0
23247, don’t know ,2,0,1,0,1
23715,there is no bus service in my area,0,0,0,0,0
20866,there is no bus service in my area,1,1,0,0,0
23791, don’t know ,16,3,5,0,8
22221,there is no bus service in my area,0,0,0,0,0
24148,there is no bus service in my area,0,0,0,0,0
23330, don’t know ,4,2,1,0,1
23246, don’t know ,5,1,0,0,4
24530,there is no bus service in my area,3,2,1,0,0
24012,there is no bus service in my area,0,0,0,0,0
23823, don’t know ,12,3,2,1,6
22222,there is no bus service in my area,0,0,0,0,0
21318, don’t know ,0,0,0,0,0
20791, don’t know ,4,0,4,0,0
21171, don’t know ,4,1,1,0,2
21009,there is no bus service in my area,4,1,1,0,2
24149,there is no bus service in my area,0,0,0,0,0
23331, don’t know ,4,1,2,0,1
24580,there is no bus service in my area,1,1,0,0,0
22128,there is no bus service in my area,0,0,0,0,0
21319, don’t know ,0,0,0,0,0
22767, don’t know ,12,2,2,2,6
24013,there is no bus service in my area,0,0,0,0,0
23966,there is no bus service in my area,2,1,0,0,1
23824, don’t know ,0,0,0,0,0
23425, don’t know ,6,0,0,3,3
21017,there is no bus service in my area,4,1,1,0,2
22131,there is no bus service in my area,0,0,0,0,0
23312, don’t know ,4,2,1,0,1
22766, don’t know ,10,2,2,1,5
22134,there is no bus service in my area,1,1,0,0,0
22129,there is no bus service in my area,0,0,0,0,0
22765,< 5 mins walk,8,1,2,1,4
23426, don’t know ,4,2,0,0,2
22130,there is no bus service in my area,1,1,0,0,0
22135,there is no bus service in my area,0,0,0,0,0
21004,there is no bus service in my area,4,1,1,0,2
22914, don’t know ,0,0,0,0,0
23792, don’t know ,14,2,5,0,7
22915, don’t know ,0,0,0,0,0
23789, don’t know ,12,2,4,0,6
22199, don’t know ,4,1,1,0,2
22764,11  - 15 mins walk,6,1,1,1,3
22206, don’t know ,2,0,0,1,1
22207, don’t know ,8,2,0,2,4
20297, don’t know ,0,0,0,0,0
20301, don’t know ,0,0,0,0,0
20033,there is no bus service in my area,0,0,0,0,0
20302,there is no bus service in my area,10,2,0,3,5
20034, don’t know ,0,0,0,0,0
22970, don’t know ,14,2,3,2,7
22968, don’t know ,0,0,0,0,0
22967, don’t know ,0,0,0,0,0
24665, don’t know ,1,0,1,0,0
22054, don’t know ,6,3,3,0,0
23964,there is no bus service in my area,0,0,0,0,0
22433, don’t know ,4,1,1,0,2
23493,6-10 mins walk,0,0,0,0,0
23825, don’t know ,0,0,0,0,0
22978,there is no bus service in my area,4,1,1,0,2
21945,there is no bus service in my area,4,2,2,0,0
20330, More than 15 mins,2,2,0,0,0
24110,there is no bus service in my area,2,1,1,0,0
23793, don’t know ,16,3,5,0,8
24664, don’t know ,0,0,0,0,0
22117, don’t know ,5,2,3,0,0
23494,6-10 mins walk,2,1,0,0,1
22434, don’t know ,4,0,0,2,2
23968,there is no bus service in my area,2,1,0,0,1
21943, don’t know ,0,0,0,0,0
20792, don’t know ,7,1,4,0,2
22019, don’t know ,6,3,3,0,0
