Family_Number,Nearest_Bus_Station,Total_Deliveries,Food_Deliveries,Supermarket_Deliveries,Other_Deliveries,Packages_Deliveries
22457, don’t know ,0,0,0,0,0
21983,there is no bus service in my area,4,2,2,0,0
20201, don’t know ,0,0,0,0,0
21094, don’t know ,2,1,0,0,1
21485,there is no bus service in my area,5,4,1,0,0
24385, don’t know ,14,0,7,0,7
20008, don’t know ,0,0,0,0,0
24346,there is no bus service in my area,1,0,0,0,1
20651, don’t know ,0,0,0,0,0
23172, don’t know ,0,0,0,0,0
20339, don’t know ,2,0,0,0,2
20819, don’t know ,0,0,0,0,0
20303, don’t know ,0,0,0,0,0
22458, More than 15 mins,0,0,0,0,0
21487,there is no bus service in my area,0,0,0,0,0
22393, don’t know ,8,3,2,2,1
21984, don’t know ,5,3,2,0,0
24347,there is no bus service in my area,0,0,0,0,0
20202,there is no bus service in my area,0,0,0,0,0
20606,there is no bus service in my area,0,0,0,0,0
20652, don’t know ,0,0,0,0,0
22160, don’t know ,0,0,0,0,0
20690, don’t know ,3,1,2,0,0
23239, don’t know ,0,0,0,0,0
20304, don’t know ,0,0,0,0,0
21305, don’t know ,0,0,0,0,0
22394, don’t know ,7,2,2,2,1
20977,there is no bus service in my area,4,1,1,0,2
22459, More than 15 mins,2,0,0,0,2
21985, don’t know ,2,1,1,0,0
20009, don’t know ,1,1,0,0,0
20602, don’t know ,10,3,2,0,5
20414, don’t know ,10,3,0,2,5
20813,there is no bus service in my area,8,2,1,1,4
20203,there is no bus service in my area,0,0,0,0,0
22262, don’t know ,1,0,0,0,1
24304,there is no bus service in my area,1,1,0,0,0
20571,there is no bus service in my area,0,0,0,0,0
20603, don’t know ,0,0,0,0,0
22174, don’t know ,5,2,0,1,2
22201,there is no bus service in my area,0,0,0,0,0
22460, More than 15 mins,0,0,0,0,0
20978,there is no bus service in my area,6,2,1,0,3
22395, don’t know ,8,3,2,2,1
20572,there is no bus service in my area,0,0,0,0,0
23980,there is no bus service in my area,3,1,0,0,2
20653, don’t know ,0,0,0,0,0
22263, don’t know ,1,0,0,0,1
20609,there is no bus service in my area,3,0,1,0,2
20204,there is no bus service in my area,1,0,0,0,1
22461, don’t know ,0,0,0,0,0
20544,there is no bus service in my area,10,2,2,1,5
24303,there is no bus service in my area,0,0,0,0,0
20654, don’t know ,1,1,0,0,0
22202,there is no bus service in my area,0,0,0,0,0
22176,there is no bus service in my area,0,0,0,0,0
22265, don’t know ,0,0,0,0,0
23981,there is no bus service in my area,0,0,0,0,0
20010, don’t know ,0,0,0,0,0
22668, don’t know ,0,0,0,0,0
20601,there is no bus service in my area,8,1,2,0,5
24305,there is no bus service in my area,2,1,0,0,1
22267,there is no bus service in my area,0,0,0,0,0
22669, don’t know ,5,0,3,0,2
20059, don’t know ,5,3,2,0,0
23982, don’t know ,0,0,0,0,0
20684,there is no bus service in my area,4,1,1,0,2
22175, don’t know ,8,2,1,1,4
22715, More than 15 mins,0,0,0,0,0
21307,11  - 15 mins walk,0,0,0,0,0
20060,there is no bus service in my area,5,2,2,0,1
22161, don’t know ,0,0,0,0,0
22165, don’t know ,4,1,0,1,2
22162, don’t know ,8,2,0,2,4
20011, don’t know ,0,0,0,0,0
22163, don’t know ,0,0,0,0,0
20879,there is no bus service in my area,0,0,0,0,0
20012, don’t know ,2,1,1,0,0
20306, don’t know ,4,1,1,0,2
20237,there is no bus service in my area,0,0,0,0,0
23117, don’t know ,0,0,0,0,0
24348,there is no bus service in my area,0,0,0,0,0
20823,there is no bus service in my area,6,2,1,0,3
20683,there is no bus service in my area,10,2,1,2,5
20880,6-10 mins walk,2,1,1,0,0
20205,there is no bus service in my area,1,0,0,0,1
20307, don’t know ,2,0,0,1,1
22396, don’t know ,6,2,2,2,0
23251, don’t know ,4,1,0,1,2
24349,there is no bus service in my area,0,0,0,0,0
20979,there is no bus service in my area,10,1,4,0,5
20013, don’t know ,1,1,0,0,0
20682,there is no bus service in my area,8,2,0,2,4
20238,there is no bus service in my area,0,0,0,0,0
23988,there is no bus service in my area,0,0,0,0,0
20820,there is no bus service in my area,8,2,2,0,4
20309, don’t know ,0,0,0,0,0
20206,there is no bus service in my area,0,0,0,0,0
23100, don’t know ,2,1,0,0,1
22397, don’t know ,9,3,3,2,1
21987,there is no bus service in my area,2,1,1,0,0
22269, don’t know ,4,1,0,1,2
20648,there is no bus service in my area,2,1,0,0,1
20322,there is no bus service in my area,0,0,0,0,0
23101, don’t know ,0,0,0,0,0
24350,there is no bus service in my area,2,0,0,0,2
20142,there is no bus service in my area,3,1,1,0,1
21988,there is no bus service in my area,3,1,1,0,1
20239,there is no bus service in my area,0,0,0,0,0
22398, don’t know ,10,4,4,2,0
20207,there is no bus service in my area,0,0,0,0,0
20014,there is no bus service in my area,3,1,1,0,1
22270, don’t know ,6,1,1,1,3
21570,there is no bus service in my area,1,1,0,0,0
20645,there is no bus service in my area,2,1,0,0,1
20310, don’t know ,0,0,0,0,0
23131, don’t know ,0,0,0,0,0
20323, don’t know ,1,0,0,0,1
20803, don’t know ,0,0,0,0,0
20882, don’t know ,3,1,2,0,0
24351,there is no bus service in my area,1,0,0,0,1
23252, don’t know ,0,0,0,0,0
20821,there is no bus service in my area,12,3,2,1,6
24306,there is no bus service in my area,1,1,0,0,0
23110, don’t know ,0,0,0,0,0
23102, don’t know ,0,0,0,0,0
21989,there is no bus service in my area,2,1,1,0,0
20311, don’t know ,4,2,0,0,2
21572,there is no bus service in my area,1,0,1,0,0
22670, More than 15 mins,0,0,0,0,0
24220,there is no bus service in my area,8,2,2,0,4
23232, don’t know ,1,0,1,0,0
20373, don’t know ,3,1,1,0,1
20324, don’t know ,0,0,0,0,0
20240,there is no bus service in my area,0,0,0,0,0
24386,there is no bus service in my area,10,1,4,0,5
